STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,milkitem,Item of milk,dairyprod,Dairy and other animal products (except meat),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1997-02,,66.6,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1997-03,,71.3,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1997-04,,71.1,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1997-05,,72.8,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1997-06,,68.9,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1997-07,,64.6,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1997-08,,61.2,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1997-09,,65.3,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1997-10,,65.2,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1997-11,,65.3,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1997-12,,67.2,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1998-01,,71.1,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1998-02,,69.4,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1998-03,,75.3,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1998-04,,74.4,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1998-05,,72.8,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1998-06,,69.2,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1998-07,,63.6,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1998-08,,66.5,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1998-09,,68,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1998-10,,65.9,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1998-11,,67.2,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1998-12,,77,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1999-01,,79.7,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1999-02,,70.8,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1999-03,,83.6,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1999-04,,81.1,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1999-05,,81.1,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1999-06,,73.5,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1999-07,,71.4,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1999-08,,69.7,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1999-09,,64.1,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1999-10,,64.6,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1999-11,,69.8,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,1999-12,,75.5,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2000-01,,76.6,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2000-02,,75.3,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2000-03,,79.4,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2000-04,,76,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2000-05,,76.7,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2000-06,,71.9,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2000-07,,71.2,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2000-08,,71.1,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2000-09,,67.6,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2000-10,,68.3,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2000-11,,70.1,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2000-12,,72.9,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2001-01,,77.3,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2001-02,,71.1,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2001-03,,76.8,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2001-04,,70.9,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2001-05,,71.1,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2001-06,,70.9,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2001-07,,70,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2001-08,,68.9,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2001-09,,66.7,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2001-10,,69.8,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2001-11,,69,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2001-12,,74.8,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2002-01,,73.9,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2002-02,,71.2,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2002-03,,72.7,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2002-04,,74.3,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2002-05,,76.6,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2002-06,,71.4,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2002-07,,74,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2002-08,,69.3,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2002-09,,64.9,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2002-10,,67.38,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2002-11,,72.39,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2002-12,,75.7,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2003-01,,74.18,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2003-02,,69.31,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2003-03,,79.14,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2003-04,,76.7,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2003-05,,79.63,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2003-06,,70.66,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2003-07,,76.5,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2003-08,,70.46,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2003-09,,67.16,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2003-10,,71.83,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2003-11,,71.04,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2003-12,,77.26,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2004-01,,77.04,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2004-02,,72.37,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2004-03,,81.04,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2004-04,,80.12,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2004-05,,76.22,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2004-06,,70.39,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2004-07,,71.5,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2004-08,,72.42,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2004-09,,67.06,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2004-10,,72.78,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2004-11,,77.32,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2004-12,,80.74,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2005-01,,80.03,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2005-02,,80.57,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2005-03,,88.61,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2005-04,,81.77,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2005-05,,84.28,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2005-06,,81.41,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2005-07,,76.38,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2005-08,,78.67,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2005-09,,70.75,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2005-10,,76.79,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2005-11,,75.73,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2005-12,,81.75,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2006-01,,86.35,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2006-02,,79.84,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2006-03,,90.67,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2006-04,,82.86,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2006-05,,87.67,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2006-06,,80.96,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2006-07,,78.01,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2006-08,,73.75,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2006-09,,68.82,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2006-10,,70.2,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2006-11,,72.33,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2006-12,,82.38,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2007-01,,88.24,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2007-02,,79.75,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2007-03,,88.52,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2007-04,,83.97,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2007-05,,81.45,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2007-06,,77.85,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2007-07,,74.44,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2007-08,,73.53,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2007-09,,64.77,,,,,
dataflow,ESTAT:APRO_MK_COLM(1.0),Production of main cows' milk products - monthly data,M,Monthly,PRD,Product obtained,D2100,Drinking milk,THS_T,Thousand tonnes,PT,Portugal,2007-10,,68.3,,,,,
